Anchor,Shape Match,Texture Match,Shape Dot,Shape Cos,Texture Dot,Texture Cos,Shape Dot Closer,Shape Cos Closer,Texture Dot Closer,Texture Cos Closer
cat1-bird1,cat10-elephant3,car9-bird1,0.0004940083,0.6527241170406342,0.0005564423,0.21185314655303955,0,1,1,0
cat1-bird1,cat10-elephant3,car4-bird1,0.0004940083,0.6527241170406342,0.00053891505,0.23826271295547485,0,1,1,0
cat1-bird1,cat10-elephant3,dog4-bird1,0.0004940083,0.6527241170406342,0.00056589564,0.18592137098312378,0,1,1,0
cat1-bird1,cat10-elephant3,dog1-bird1,0.0004940083,0.6527241170406342,0.00053231884,0.2652466297149658,0,1,1,0
cat1-bird1,cat10-elephant3,dog6-bird1,0.0004940083,0.6527241170406342,0.0005747486,0.21205949783325195,0,1,1,0
cat1-bird1,cat10-elephant3,bear5-bird1,0.0004940083,0.6527241170406342,0.00056275143,0.17150264978408813,0,1,1,0
cat1-bird1,cat10-elephant3,boat2-bird1,0.0004940083,0.6527241170406342,0.00056919514,0.20414060354232788,0,1,1,0
cat1-bird1,cat10-elephant3,boat4-bird1,0.0004940083,0.6527241170406342,0.00053149357,0.22360330820083618,0,1,1,0
cat1-bird1,cat10-elephant3,boat9-bird1,0.0004940083,0.6527241170406342,0.00053053256,0.4109022617340088,0,1,1,0
cat1-bird1,cat10-elephant3,oven6-bird1,0.0004940083,0.6527241170406342,0.00057186757,0.2179105281829834,0,1,1,0
cat1-bird1,cat10-elephant3,oven5-bird1,0.0004940083,0.6527241170406342,0.0006265214,0.250349223613739,0,1,1,0
cat1-bird1,cat10-elephant3,chair5-bird1,0.0004940083,0.6527241170406342,0.000639715,0.24879121780395508,0,1,1,0
cat1-bird1,cat10-elephant3,chair7-bird1,0.0004940083,0.6527241170406342,0.0005851721,0.1932671070098877,0,1,1,0
cat1-bird1,cat10-elephant3,truck1-bird1,0.0004940083,0.6527241170406342,0.0005406031,0.24770450592041016,0,1,1,0
