Anchor,Shape Match,Texture Match,Shape Dot,Shape Cos,Texture Dot,Texture Cos,Shape Dot Closer,Shape Cos Closer,Texture Dot Closer,Texture Cos Closer
cat6-clock3,cat6-bear1,cat7-clock3,0.00052179856,0.5277829170227051,0.00065990805,0.09960943460464478,0,1,1,0
cat6-clock3,cat6-bear1,bear4-clock3,0.00052179856,0.5277829170227051,0.00070434256,0.1947563886642456,0,1,1,0
cat6-clock3,cat6-bear1,boat3-clock3,0.00052179856,0.5277829170227051,0.00053321524,0.3232066035270691,0,1,1,0
cat6-clock3,cat6-bear1,boat7-clock3,0.00052179856,0.5277829170227051,0.00059474655,0.201357901096344,0,1,1,0
cat6-clock3,cat6-bear1,boat5-clock3,0.00052179856,0.5277829170227051,0.000555954,0.23301547765731812,0,1,1,0
cat6-clock3,cat6-bear1,oven3-clock3,0.00052179856,0.5277829170227051,0.0005801889,0.26106852293014526,0,1,1,0
cat6-clock3,cat6-bear1,oven1-clock3,0.00052179856,0.5277829170227051,0.00053589087,0.4075924754142761,0,1,1,0
cat6-clock3,cat6-bear1,chair7-clock3,0.00052179856,0.5277829170227051,0.0006732963,0.13459479808807373,0,1,1,0
cat6-clock3,cat6-bear1,chair8-clock3,0.00052179856,0.5277829170227051,0.0005822466,0.321428120136261,0,1,1,0
cat6-clock3,cat6-bear1,truck1-clock3,0.00052179856,0.5277829170227051,0.0005496292,0.4018681049346924,0,1,1,0
cat6-clock3,cat6-bear1,truck3-clock3,0.00052179856,0.5277829170227051,0.00055842765,0.26817071437835693,0,1,1,0
cat6-clock3,cat6-bear1,bird2-clock3,0.00052179856,0.5277829170227051,0.00068490335,0.13444608449935913,0,1,1,0
cat6-clock3,cat6-bear1,bird1-clock3,0.00052179856,0.5277829170227051,0.0005695026,0.2561308741569519,0,1,1,0
cat6-clock3,cat6-bear1,airplane7-clock3,0.00052179856,0.5277829170227051,0.0005647006,0.37284183502197266,0,1,1,0
cat6-clock3,cat6-bear1,bicycle8-clock3,0.00052179856,0.5277829170227051,0.0006172351,0.18640780448913574,0,1,1,0
cat6-clock3,cat6-bear1,bicycle7-clock3,0.00052179856,0.5277829170227051,0.0007070103,0.2640905976295471,0,1,1,0
cat6-clock3,cat6-bear1,bicycle1-clock3,0.00052179856,0.5277829170227051,0.00079478935,0.47817492485046387,0,1,1,0
cat6-clock3,cat6-bear1,bicycle4-clock3,0.00052179856,0.5277829170227051,0.0005908458,0.3708750605583191,0,1,1,0
cat6-clock3,cat6-bear1,bottle5-clock3,0.00052179856,0.5277829170227051,0.00062220386,0.2776934504508972,0,1,1,0
cat6-clock3,cat6-bear1,keyboard7-clock3,0.00052179856,0.5277829170227051,0.0005843949,0.20469385385513306,0,1,1,0
cat6-clock3,cat6-bear1,keyboard3-clock3,0.00052179856,0.5277829170227051,0.0005407809,0.43364131450653076,0,1,1,0
cat6-clock3,cat6-bear1,knife4-clock3,0.00052179856,0.5277829170227051,0.0005663764,0.25615376234054565,0,1,1,0
cat6-clock3,cat6-bear1,elephant4-clock3,0.00052179856,0.5277829170227051,0.00079675054,0.2196965217590332,0,1,1,0
cat6-clock3,cat6-bear1,elephant9-clock3,0.00052179856,0.5277829170227051,0.00066209276,0.16079872846603394,0,1,1,0
cat6-clock3,cat6-keyboard3,cat7-clock3,0.00050348457,0.4768511652946472,0.00065990805,0.09960943460464478,0,1,1,0
cat6-clock3,cat6-keyboard3,bear4-clock3,0.00050348457,0.4768511652946472,0.00070434256,0.1947563886642456,0,1,1,0
cat6-clock3,cat6-keyboard3,boat3-clock3,0.00050348457,0.4768511652946472,0.00053321524,0.3232066035270691,0,1,1,0
cat6-clock3,cat6-keyboard3,boat7-clock3,0.00050348457,0.4768511652946472,0.00059474655,0.201357901096344,0,1,1,0
cat6-clock3,cat6-keyboard3,boat5-clock3,0.00050348457,0.4768511652946472,0.000555954,0.23301547765731812,0,1,1,0
cat6-clock3,cat6-keyboard3,oven3-clock3,0.00050348457,0.4768511652946472,0.0005801889,0.26106852293014526,0,1,1,0
cat6-clock3,cat6-keyboard3,oven1-clock3,0.00050348457,0.4768511652946472,0.00053589087,0.4075924754142761,0,1,1,0
cat6-clock3,cat6-keyboard3,chair7-clock3,0.00050348457,0.4768511652946472,0.0006732963,0.13459479808807373,0,1,1,0
cat6-clock3,cat6-keyboard3,chair8-clock3,0.00050348457,0.4768511652946472,0.0005822466,0.321428120136261,0,1,1,0
cat6-clock3,cat6-keyboard3,truck1-clock3,0.00050348457,0.4768511652946472,0.0005496292,0.4018681049346924,0,1,1,0
cat6-clock3,cat6-keyboard3,truck3-clock3,0.00050348457,0.4768511652946472,0.00055842765,0.26817071437835693,0,1,1,0
cat6-clock3,cat6-keyboard3,bird2-clock3,0.00050348457,0.4768511652946472,0.00068490335,0.13444608449935913,0,1,1,0
cat6-clock3,cat6-keyboard3,bird1-clock3,0.00050348457,0.4768511652946472,0.0005695026,0.2561308741569519,0,1,1,0
cat6-clock3,cat6-keyboard3,airplane7-clock3,0.00050348457,0.4768511652946472,0.0005647006,0.37284183502197266,0,1,1,0
cat6-clock3,cat6-keyboard3,bicycle8-clock3,0.00050348457,0.4768511652946472,0.0006172351,0.18640780448913574,0,1,1,0
cat6-clock3,cat6-keyboard3,bicycle7-clock3,0.00050348457,0.4768511652946472,0.0007070103,0.2640905976295471,0,1,1,0
cat6-clock3,cat6-keyboard3,bicycle1-clock3,0.00050348457,0.4768511652946472,0.00079478935,0.47817492485046387,0,0,1,1
cat6-clock3,cat6-keyboard3,bicycle4-clock3,0.00050348457,0.4768511652946472,0.0005908458,0.3708750605583191,0,1,1,0
cat6-clock3,cat6-keyboard3,bottle5-clock3,0.00050348457,0.4768511652946472,0.00062220386,0.2776934504508972,0,1,1,0
cat6-clock3,cat6-keyboard3,keyboard7-clock3,0.00050348457,0.4768511652946472,0.0005843949,0.20469385385513306,0,1,1,0
cat6-clock3,cat6-keyboard3,keyboard3-clock3,0.00050348457,0.4768511652946472,0.0005407809,0.43364131450653076,0,1,1,0
cat6-clock3,cat6-keyboard3,knife4-clock3,0.00050348457,0.4768511652946472,0.0005663764,0.25615376234054565,0,1,1,0
cat6-clock3,cat6-keyboard3,elephant4-clock3,0.00050348457,0.4768511652946472,0.00079675054,0.2196965217590332,0,1,1,0
cat6-clock3,cat6-keyboard3,elephant9-clock3,0.00050348457,0.4768511652946472,0.00066209276,0.16079872846603394,0,1,1,0
cat6-clock3,cat6-oven1,cat7-clock3,0.0004948079,0.30394601821899414,0.00065990805,0.09960943460464478,0,1,1,0
cat6-clock3,cat6-oven1,bear4-clock3,0.0004948079,0.30394601821899414,0.00070434256,0.1947563886642456,0,1,1,0
cat6-clock3,cat6-oven1,boat3-clock3,0.0004948079,0.30394601821899414,0.00053321524,0.3232066035270691,0,0,1,1
cat6-clock3,cat6-oven1,boat7-clock3,0.0004948079,0.30394601821899414,0.00059474655,0.201357901096344,0,1,1,0
cat6-clock3,cat6-oven1,boat5-clock3,0.0004948079,0.30394601821899414,0.000555954,0.23301547765731812,0,1,1,0
cat6-clock3,cat6-oven1,oven3-clock3,0.0004948079,0.30394601821899414,0.0005801889,0.26106852293014526,0,1,1,0
cat6-clock3,cat6-oven1,oven1-clock3,0.0004948079,0.30394601821899414,0.00053589087,0.4075924754142761,0,0,1,1
cat6-clock3,cat6-oven1,chair7-clock3,0.0004948079,0.30394601821899414,0.0006732963,0.13459479808807373,0,1,1,0
