Shape,Texture,Decision,Shape Category Value,Texture Category Value,Decision Category Value,Shape Decision,Texture Decision,Neither
clock,airplane,bottle,0.00023929932,7.4356426e-06,0.0027455767,0,0,1
clock,bear,knife,0.0005400149,7.8922065e-05,0.0022787633,0,0,1
clock,bicycle,knife,0.0007197417,0.00016481346,0.004392777,0,0,1
clock,bird,dog,0.00025261895,0.00023732644,0.0020030097,0,0,1
clock,boat,knife,0.00033843413,0.0001259908,0.002334127,0,0,1
clock,bottle,bottle,0.00095419,0.0029677749,0.0029677749,0,1,0
clock,car,knife,0.00052771467,6.420617e-05,0.0027213925,0,0,1
clock,cat,knife,0.00043357583,0.0015545394,0.005181843,0,0,1
clock,chair,bottle,0.00044510557,0.00065798545,0.003266227,0,0,1
clock,clock,bottle,0.00042896825,0.00042896825,0.002208209,0,0,1
clock,dog,bottle,0.0004263446,0.0016059596,0.0026502528,0,0,1
clock,elephant,bottle,0.00082027126,0.00032301364,0.0023716658,0,0,1
clock,keyboard,dog,0.00043838192,0.00010232984,0.001990891,0,0,1
clock,knife,knife,0.00050569954,0.0022675158,0.0022675158,0,1,0
clock,oven,oven,0.00039507996,0.0026366303,0.0026366303,0,1,0
clock,truck,knife,0.000742435,2.9935825e-05,0.0034680245,0,0,1
