Shape,Texture,Decision,Shape Category Value,Texture Category Value,Decision Category Value,Shape Decision,Texture Decision,Neither
car,airplane,bottle,4.8146892e-05,7.4356426e-06,0.0027455767,0,0,1
car,bear,knife,3.5064873e-05,7.8922065e-05,0.0022787633,0,0,1
car,bicycle,knife,8.482774e-05,0.00016481346,0.004392777,0,0,1
car,bird,dog,7.831776e-05,0.00023732644,0.0020030097,0,0,1
car,boat,knife,8.991479e-05,0.0001259908,0.002334127,0,0,1
car,bottle,bottle,5.0539038e-05,0.0029677749,0.0029677749,0,1,0
car,car,knife,6.420617e-05,6.420617e-05,0.0027213925,0,0,1
car,cat,knife,5.857086e-05,0.0015545394,0.005181843,0,0,1
car,chair,bottle,4.2214593e-05,0.00065798545,0.003266227,0,0,1
car,clock,bottle,0.00013282722,0.00042896825,0.002208209,0,0,1
car,dog,bottle,3.5735826e-05,0.0016059596,0.0026502528,0,0,1
car,elephant,bottle,6.515164e-05,0.00032301364,0.0023716658,0,0,1
car,keyboard,dog,4.738708e-05,0.00010232984,0.001990891,0,0,1
car,knife,knife,5.558558e-05,0.0022675158,0.0022675158,0,1,0
car,oven,oven,7.084763e-05,0.0026366303,0.0026366303,0,1,0
car,truck,knife,1.9110277e-05,2.9935825e-05,0.0034680245,0,0,1
