Shape,Texture,Decision,Shape Category Value,Texture Category Value,Decision Category Value,Shape Decision,Texture Decision,Neither
bottle,airplane,bottle,0.0027455767,7.4356426e-06,0.0027455767,1,0,0
bottle,bear,knife,0.00208795,7.8922065e-05,0.0022787633,0,0,1
bottle,bicycle,knife,0.0032689145,0.00016481346,0.004392777,0,0,1
bottle,bird,dog,0.0019544887,0.00023732644,0.0020030097,0,0,1
bottle,boat,knife,0.0022163943,0.0001259908,0.002334127,0,0,1
bottle,bottle,bottle,0.0029677749,0.0029677749,0.0029677749,1,1,0
bottle,car,knife,0.002612256,6.420617e-05,0.0027213925,0,0,1
bottle,cat,knife,0.0022526835,0.0015545394,0.005181843,0,0,1
bottle,chair,bottle,0.003266227,0.00065798545,0.003266227,1,0,0
bottle,clock,bottle,0.002208209,0.00042896825,0.002208209,1,0,0
bottle,dog,bottle,0.0026502528,0.0016059596,0.0026502528,1,0,0
bottle,elephant,bottle,0.0023716658,0.00032301364,0.0023716658,1,0,0
bottle,keyboard,dog,0.0019098697,0.00010232984,0.001990891,0,0,1
bottle,knife,knife,0.0021164422,0.0022675158,0.0022675158,0,1,0
bottle,oven,oven,0.0019449627,0.0026366303,0.0026366303,0,1,0
bottle,truck,knife,0.0021810473,2.9935825e-05,0.0034680245,0,0,1
