Shape,Texture,Decision,Shape Category Value,Texture Category Value,Decision Category Value,Shape Decision,Texture Decision,Neither
keyboard,airplane,bottle,0.00019884492,7.4356426e-06,0.0027455767,0,0,1
keyboard,bear,knife,0.00019732422,7.8922065e-05,0.0022787633,0,0,1
keyboard,bicycle,knife,0.00027237018,0.00016481346,0.004392777,0,0,1
keyboard,bird,dog,0.00014722667,0.00023732644,0.0020030097,0,0,1
keyboard,boat,knife,0.00017227819,0.0001259908,0.002334127,0,0,1
keyboard,bottle,bottle,0.00021051028,0.0029677749,0.0029677749,0,1,0
keyboard,car,knife,0.00010486254,6.420617e-05,0.0027213925,0,0,1
keyboard,cat,knife,0.0001939948,0.0015545394,0.005181843,0,0,1
keyboard,chair,bottle,0.0001889217,0.00065798545,0.003266227,0,0,1
keyboard,clock,bottle,0.00012845774,0.00042896825,0.002208209,0,0,1
keyboard,dog,bottle,7.509958e-05,0.0016059596,0.0026502528,0,0,1
keyboard,elephant,bottle,0.00034718146,0.00032301364,0.0023716658,0,0,1
keyboard,keyboard,dog,0.00010232984,0.00010232984,0.001990891,0,0,1
keyboard,knife,knife,0.00011789205,0.0022675158,0.0022675158,0,1,0
keyboard,oven,oven,7.368702e-05,0.0026366303,0.0026366303,0,1,0
keyboard,truck,knife,0.00020217005,2.9935825e-05,0.0034680245,0,0,1
