Shape,Texture,Decision,Shape Category Value,Texture Category Value,Decision Category Value,Shape Decision,Texture Decision,Neither
dog,airplane,bottle,0.0011029413,7.4356426e-06,0.0027455767,0,0,1
dog,bear,knife,0.0014750963,7.8922065e-05,0.0022787633,0,0,1
dog,bicycle,knife,0.0012212414,0.00016481346,0.004392777,0,0,1
dog,bird,dog,0.0020030097,0.00023732644,0.0020030097,1,0,0
dog,boat,knife,0.0015651583,0.0001259908,0.002334127,0,0,1
dog,bottle,bottle,0.0009638682,0.0029677749,0.0029677749,0,1,0
dog,car,knife,0.0014226831,6.420617e-05,0.0027213925,0,0,1
dog,cat,knife,0.0012022274,0.0015545394,0.005181843,0,0,1
dog,chair,bottle,0.001332447,0.00065798545,0.003266227,0,0,1
dog,clock,bottle,0.0018382163,0.00042896825,0.002208209,0,0,1
dog,dog,bottle,0.0016059596,0.0016059596,0.0026502528,0,0,1
dog,elephant,bottle,0.0017235376,0.00032301364,0.0023716658,0,0,1
dog,keyboard,dog,0.001990891,0.00010232984,0.001990891,1,0,0
dog,knife,knife,0.0013193404,0.0022675158,0.0022675158,0,1,0
dog,oven,oven,0.0017980766,0.0026366303,0.0026366303,0,1,0
dog,truck,knife,0.0018942442,2.9935825e-05,0.0034680245,0,0,1
