Shape,Texture,Decision,Shape Category Value,Texture Category Value,Decision Category Value,Shape Decision,Texture Decision,Neither
bird,airplane,bottle,0.00038137485,7.4356426e-06,0.0027455767,0,0,1
bird,bear,knife,0.00024407588,7.8922065e-05,0.0022787633,0,0,1
bird,bicycle,knife,0.00030678287,0.00016481346,0.004392777,0,0,1
bird,bird,dog,0.00023732644,0.00023732644,0.0020030097,0,0,1
bird,boat,knife,0.00029113927,0.0001259908,0.002334127,0,0,1
bird,bottle,bottle,0.00030232707,0.0029677749,0.0029677749,0,1,0
bird,car,knife,0.00020249732,6.420617e-05,0.0027213925,0,0,1
bird,cat,knife,0.0003538458,0.0015545394,0.005181843,0,0,1
bird,chair,bottle,0.00033549557,0.00065798545,0.003266227,0,0,1
bird,clock,bottle,0.00037968965,0.00042896825,0.002208209,0,0,1
bird,dog,bottle,0.0004840549,0.0016059596,0.0026502528,0,0,1
bird,elephant,bottle,0.00028414975,0.00032301364,0.0023716658,0,0,1
bird,keyboard,dog,0.0002703508,0.00010232984,0.001990891,0,0,1
bird,knife,knife,0.00035556988,0.0022675158,0.0022675158,0,1,0
bird,oven,oven,0.00031843482,0.0026366303,0.0026366303,0,1,0
bird,truck,knife,0.0003106197,2.9935825e-05,0.0034680245,0,0,1
