Shape,Texture,Decision,Shape Category Value,Texture Category Value,Decision Category Value,Shape Decision,Texture Decision,Neither
elephant,airplane,bottle,0.00017269756,7.4356426e-06,0.0027455767,0,0,1
elephant,bear,knife,9.575118e-05,7.8922065e-05,0.0022787633,0,0,1
elephant,bicycle,knife,0.00015565808,0.00016481346,0.004392777,0,0,1
elephant,bird,dog,0.0003962053,0.00023732644,0.0020030097,0,0,1
elephant,boat,knife,0.0002757595,0.0001259908,0.002334127,0,0,1
elephant,bottle,bottle,0.00010234434,0.0029677749,0.0029677749,0,1,0
elephant,car,knife,0.00019303693,6.420617e-05,0.0027213925,0,0,1
elephant,cat,knife,0.00015340466,0.0015545394,0.005181843,0,0,1
elephant,chair,bottle,0.00027373372,0.00065798545,0.003266227,0,0,1
elephant,clock,bottle,0.00043897622,0.00042896825,0.002208209,0,0,1
elephant,dog,bottle,0.00022628649,0.0016059596,0.0026502528,0,0,1
elephant,elephant,bottle,0.00032301364,0.00032301364,0.0023716658,0,0,1
elephant,keyboard,dog,0.00014045357,0.00010232984,0.001990891,0,0,1
elephant,knife,knife,0.000118234246,0.0022675158,0.0022675158,0,1,0
elephant,oven,oven,0.00017740371,0.0026366303,0.0026366303,0,1,0
elephant,truck,knife,0.0003153347,2.9935825e-05,0.0034680245,0,0,1
