Shape,Texture,Decision,Shape Category Value,Texture Category Value,Decision Category Value,Shape Decision,Texture Decision,Neither
cat,airplane,bottle,0.0008280216,7.4356426e-06,0.0027455767,0,0,1
cat,bear,knife,0.001035769,7.8922065e-05,0.0022787633,0,0,1
cat,bicycle,knife,0.00058801164,0.00016481346,0.004392777,0,0,1
cat,bird,dog,0.0011254261,0.00023732644,0.0020030097,0,0,1
cat,boat,knife,0.0022928014,0.0001259908,0.002334127,0,0,1
cat,bottle,bottle,0.0009600196,0.0029677749,0.0029677749,0,1,0
cat,car,knife,0.00056425045,6.420617e-05,0.0027213925,0,0,1
cat,cat,knife,0.0015545394,0.0015545394,0.005181843,0,0,1
cat,chair,bottle,0.0010378179,0.00065798545,0.003266227,0,0,1
cat,clock,bottle,0.0012211791,0.00042896825,0.002208209,0,0,1
cat,dog,bottle,0.0011221438,0.0016059596,0.0026502528,0,0,1
cat,elephant,bottle,0.0011263661,0.00032301364,0.0023716658,0,0,1
cat,keyboard,dog,0.0015108233,0.00010232984,0.001990891,0,0,1
cat,knife,knife,0.001243043,0.0022675158,0.0022675158,0,1,0
cat,oven,oven,0.0012225624,0.0026366303,0.0026366303,0,1,0
cat,truck,knife,0.0015701008,2.9935825e-05,0.0034680245,0,0,1
